Protocol,Mode,NetworkType,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
ECC-AODV,ecc-aodv,802.11,60,30,300,512,1,25.00,15.00,15.00,4,222314,11655,210659,5.24,94.76,481.7952,1513.67,1786.0404,29.7673
ECC-AODV,ecc-aodv,802.11,60,30,300,512,1,65.00,15.00,15.00,4,591305,33302,558003,5.63,94.37,434.7824,1680.48,3860.3328,64.3389
ECC-AODV,ecc-aodv,802.11,60,30,300,512,1,30.00,15.00,15.00,4,267982,14698,253284,5.48,94.52,464.8086,1646.05,2045.9166,34.0986
