Protocol,Mode,NetworkType,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
ECC-AODV,ecc-aodv,802.15.4,40,20,400,512,1,30.00,20.00,20.00,4,235689,8826,226863,3.74,96.26,429.6489,926.10,1408.1838,35.2046
ECC-AODV,ecc-aodv,802.15.4,40,20,400,512,1,60.00,20.00,20.00,4,477365,19660,457705,4.12,95.88,454.2890,1193.22,2496.7923,62.4198
ECC-AODV,ecc-aodv,802.15.4,40,20,400,512,1,60.00,20.00,20.00,4,477365,19660,457705,4.12,95.88,454.2890,1193.22,2496.7923,62.4198
ECC-AODV,ecc-aodv,802.15.4,40,20,400,512,1,30.00,20.00,20.00,4,235689,8826,226863,3.74,96.26,429.6489,926.10,1408.1838,35.2046
