Protocol,Mode,NetworkType,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
Standard AODV,aodv,802.11,60,30,300,512,1,25.00,15.00,15.00,4,223033,11252,211781,5.04,94.96,449.6102,1360.26,1794.8215,29.9137
Standard AODV,aodv,802.11,60,30,300,512,1,65.00,15.00,15.00,4,588254,29057,559197,4.94,95.06,431.7492,1522.27,3856.2351,64.2706
Standard AODV,aodv,802.11,60,30,300,512,1,65.00,15.00,15.00,4,588254,29057,559197,4.94,95.06,431.7492,1522.27,3856.2351,64.2706
Standard AODV,aodv,802.11,60,30,300,512,1,30.00,15.00,15.00,4,266459,12030,254429,4.51,95.49,465.7574,1388.93,2045.1524,34.0859
