Protocol,Mode,NetworkType,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
Standard AODV,aodv,802.11,40,20,400,512,1,30.00,20.00,20.00,4,235785,19618,216167,8.32,91.68,479.6471,2566.37,1370.0303,34.2508
Standard AODV,aodv,802.11,40,20,400,512,1,60.00,20.00,20.00,4,479905,42649,437256,8.89,91.11,470.3299,2809.20,2409.9746,60.2494
Standard AODV,aodv,802.11,40,20,400,512,1,60.00,20.00,20.00,4,479905,42649,437256,8.89,91.11,470.3299,2809.20,2409.9746,60.2494
Standard AODV,aodv,802.11,40,20,400,512,1,30.00,20.00,20.00,4,235785,19618,216167,8.32,91.68,479.6471,2566.37,1370.0303,34.2508
