Protocol,Mode,NetworkType,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
CC-AODV,cc-aodv,802.15.4,20,10,500,512,1,30.00,25.00,25.00,4,147135,3654,143481,2.48,97.52,436.9783,377.10,708.1125,35.4056
CC-AODV,cc-aodv,802.15.4,20,10,500,512,1,60.00,25.00,25.00,4,298285,11138,287147,3.73,96.27,441.7952,688.64,1257.9793,62.8990
CC-AODV,cc-aodv,802.15.4,20,10,500,512,1,60.00,25.00,25.00,4,298285,11138,287147,3.73,96.27,441.7952,688.64,1257.9793,62.8990
CC-AODV,cc-aodv,802.15.4,20,10,500,512,1,30.00,25.00,25.00,4,147135,3654,143481,2.48,97.52,436.9783,377.10,708.1125,35.4056
