Protocol,Mode,NetworkType,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
ECC-AODV,ecc-aodv,802.15.4,100,50,100,512,1,15.00,5.00,5.00,4,84856,13290,71566,15.66,84.34,150.3599,636.26,2159.0350,21.5904
ECC-AODV,ecc-aodv,802.15.4,100,50,100,512,1,60.00,5.00,5.00,4,340142,37296,302846,10.96,89.04,151.4547,469.76,6153.0593,61.5306
ECC-AODV,ecc-aodv,802.15.4,100,50,100,512,1,30.00,5.00,5.00,4,171014,22887,148127,13.38,86.62,159.2609,575.76,3486.5381,34.8654
