Protocol,Mode,NetworkType,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
Standard AODV,aodv,802.15.4,60,30,300,512,1,25.00,15.00,15.00,4,224395,9693,214702,4.32,95.68,359.9204,827.57,1847.8019,30.7967
Standard AODV,aodv,802.15.4,60,30,300,512,1,65.00,15.00,15.00,4,587955,24249,563706,4.12,95.88,415.1951,1169.12,4012.0506,66.8675
Standard AODV,aodv,802.15.4,60,30,300,512,1,30.00,15.00,15.00,4,268783,10898,257885,4.05,95.95,378.0139,926.64,2110.9894,35.1832
