Protocol,Mode,NetworkType,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
Standard AODV,aodv,802.15.4,100,50,100,512,1,15.00,5.00,5.00,4,86343,13808,72535,15.99,84.01,163.4275,633.34,2169.3625,21.6936
Standard AODV,aodv,802.15.4,100,50,100,512,1,60.00,5.00,5.00,4,345798,39540,306258,11.43,88.57,159.2938,492.57,6174.8406,61.7484
Standard AODV,aodv,802.15.4,100,50,100,512,1,30.00,5.00,5.00,4,172296,22264,150032,12.92,87.08,155.5606,534.36,3496.2742,34.9627
