Protocol,Mode,NetworkType,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
Standard AODV,aodv,802.11,100,50,100,512,1,15.00,5.00,5.00,4,82215,5634,76581,6.85,93.15,382.6241,346.84,2112.7348,21.1273
Standard AODV,aodv,802.11,100,50,100,512,1,60.00,5.00,5.00,4,324904,13182,311722,4.06,95.94,311.1656,176.56,5974.2081,59.7421
Standard AODV,aodv,802.11,100,50,100,512,1,30.00,5.00,5.00,4,163777,9479,154298,5.79,94.21,323.2558,304.05,3397.1741,33.9717
