Protocol,Mode,NetworkType,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
ECC-AODV,ecc-aodv,802.15.4,60,30,300,512,1,25.00,15.00,15.00,4,222009,8823,213186,3.97,96.03,407.1318,915.83,1843.6836,30.7281
ECC-AODV,ecc-aodv,802.15.4,60,30,300,512,1,65.00,15.00,15.00,4,586255,24748,561507,4.22,95.78,425.1963,1270.56,4011.6079,66.8601
ECC-AODV,ecc-aodv,802.15.4,60,30,300,512,1,30.00,15.00,15.00,4,267443,10862,256581,4.06,95.94,398.0793,1032.25,2110.5093,35.1752
