Protocol,Mode,NetworkType,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
Standard AODV,aodv,802.11,20,10,500,512,1,30.00,25.00,25.00,4,150261,22234,128027,14.80,85.20,435.0313,2765.87,689.4218,34.4711
Standard AODV,aodv,802.11,20,10,500,512,1,60.00,25.00,25.00,4,304738,44606,260132,14.64,85.36,439.1417,2821.19,1214.6430,60.7321
Standard AODV,aodv,802.11,20,10,500,512,1,60.00,25.00,25.00,4,304738,44606,260132,14.64,85.36,439.1417,2821.19,1214.6430,60.7321
Standard AODV,aodv,802.11,20,10,500,512,1,60.00,25.00,25.00,4,304738,44606,260132,14.64,85.36,439.1417,2821.19,1214.6430,60.7321
Standard AODV,aodv,802.11,20,10,500,512,1,30.00,25.00,25.00,4,150261,22234,128027,14.80,85.20,435.0313,2765.87,689.4218,34.4711
