Protocol,Mode,NetworkType,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
Standard AODV,aodv,802.15.4,20,10,500,512,1,30.00,25.00,25.00,4,147520,3750,143770,2.54,97.46,502.1955,369.51,708.4378,35.4219
Standard AODV,aodv,802.15.4,20,10,500,512,1,60.00,25.00,25.00,4,298987,10393,288594,3.48,96.52,431.5600,603.29,1257.5005,62.8750
Standard AODV,aodv,802.15.4,20,10,500,512,1,60.00,25.00,25.00,4,298987,10393,288594,3.48,96.52,431.5600,603.29,1257.5005,62.8750
Standard AODV,aodv,802.15.4,20,10,500,512,1,30.00,25.00,25.00,4,147520,3750,143770,2.54,97.46,502.1955,369.51,708.4378,35.4219
