Protocol,Mode,NetworkType,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
CC-AODV,cc-aodv,802.15.4,40,20,400,512,1,30.00,20.00,20.00,4,236559,8125,228434,3.43,96.57,416.5038,776.48,1410.7761,35.2694
CC-AODV,cc-aodv,802.15.4,40,20,400,512,1,60.00,20.00,20.00,4,478047,16742,461305,3.50,96.50,457.3425,964.16,2497.3655,62.4341
CC-AODV,cc-aodv,802.15.4,40,20,400,512,1,60.00,20.00,20.00,4,478047,16742,461305,3.50,96.50,457.3425,964.16,2497.3655,62.4341
CC-AODV,cc-aodv,802.15.4,40,20,400,512,1,30.00,20.00,20.00,4,236559,8125,228434,3.43,96.57,416.5038,776.48,1410.7761,35.2694
