Protocol,Mode,NetworkType,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
ECC-AODV,ecc-aodv,802.11,20,10,500,512,1,30.00,25.00,25.00,4,149112,22416,126696,15.03,84.97,439.7601,2905.69,689.7935,34.4897
ECC-AODV,ecc-aodv,802.11,20,10,500,512,1,60.00,25.00,25.00,4,301808,46611,255197,15.44,84.56,451.3780,3110.46,1215.5854,60.7793
ECC-AODV,ecc-aodv,802.11,20,10,500,512,1,60.00,25.00,25.00,4,301808,46611,255197,15.44,84.56,451.3780,3110.46,1215.5854,60.7793
ECC-AODV,ecc-aodv,802.11,20,10,500,512,1,30.00,25.00,25.00,4,149112,22416,126696,15.03,84.97,439.7601,2905.69,689.7935,34.4897
