Protocol,Mode,NetworkType,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
CC-AODV,cc-aodv,802.11,20,10,500,512,1,30.00,25.00,25.00,4,149520,20654,128866,13.81,86.19,449.2674,2630.98,690.0525,34.5026
CC-AODV,cc-aodv,802.11,20,10,500,512,1,60.00,25.00,25.00,4,303771,43404,260367,14.29,85.71,442.9069,2803.93,1215.5566,60.7778
CC-AODV,cc-aodv,802.11,20,10,500,512,1,60.00,25.00,25.00,4,303771,43404,260367,14.29,85.71,442.9069,2803.93,1215.5566,60.7778
CC-AODV,cc-aodv,802.11,20,10,500,512,1,30.00,25.00,25.00,4,149520,20654,128866,13.81,86.19,449.2674,2630.98,690.0525,34.5026
