Protocol,Mode,NetworkType,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
ECC-AODV,ecc-aodv,802.15.4,20,10,500,512,1,30.00,25.00,25.00,4,146948,4252,142696,2.89,97.11,431.3221,454.91,710.2026,35.5101
ECC-AODV,ecc-aodv,802.15.4,20,10,500,512,1,60.00,25.00,25.00,4,298311,10418,287893,3.49,96.51,430.6210,606.14,1255.7314,62.7866
ECC-AODV,ecc-aodv,802.15.4,20,10,500,512,1,60.00,25.00,25.00,4,298311,10418,287893,3.49,96.51,430.6210,606.14,1255.7314,62.7866
ECC-AODV,ecc-aodv,802.15.4,20,10,500,512,1,30.00,25.00,25.00,4,146948,4252,142696,2.89,97.11,431.3221,454.91,710.2026,35.5101
