Protocol,Mode,NetworkType,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
ECC-AODV,ecc-aodv,802.15.4,80,40,200,512,1,20.00,10.00,10.00,4,162291,10683,151608,6.58,93.42,261.4916,791.28,2083.3316,26.0416
ECC-AODV,ecc-aodv,802.15.4,80,40,200,512,1,60.00,10.00,10.00,4,490236,26657,463579,5.44,94.56,387.3170,1111.49,4968.3711,62.1046
ECC-AODV,ecc-aodv,802.15.4,80,40,200,512,1,30.00,10.00,10.00,4,246063,14825,231238,6.02,93.98,289.2826,784.64,2810.8711,35.1359
