Protocol,Mode,NetworkType,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
CC-AODV,cc-aodv,802.11,60,30,300,512,1,25.00,15.00,15.00,4,223735,11735,212000,5.25,94.75,469.1420,1482.42,1788.1718,29.8029
CC-AODV,cc-aodv,802.11,60,30,300,512,1,65.00,15.00,15.00,4,590654,31508,559146,5.33,94.67,451.4098,1621.23,3855.5965,64.2599
CC-AODV,cc-aodv,802.11,60,30,300,512,1,65.00,15.00,15.00,4,590654,31508,559146,5.33,94.67,451.4098,1621.23,3855.5965,64.2599
CC-AODV,cc-aodv,802.11,60,30,300,512,1,30.00,15.00,15.00,4,268781,13226,255555,4.92,95.08,475.1267,1464.57,2044.4718,34.0745
