Protocol,Mode,NetworkType,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
Standard AODV,aodv,802.11,20,5,50,512,1,20.00,5.00,5.00,4,6746,6447,299,95.57,4.43,50.4610,1028.53,502.7642,25.1382
CC-AODV,cc-aodv,802.11,20,5,50,512,1,20.00,5.00,5.00,4,5214,5094,120,97.70,2.30,25.3328,1014.62,501.1242,25.0562
ECC-AODV,ecc-aodv,802.11,20,5,50,512,1,20.00,5.00,5.00,4,5674,5468,206,96.37,3.63,35.5990,1011.80,502.3049,25.1152
