time,node,event,destination,nexthop,hopcount
0.500000,0,added,10.1.1.11,10.1.1.11,1
0.500000,0,added,10.1.1.12,10.1.1.12,1
0.500000,0,added,10.1.1.13,10.1.1.13,1
0.500000,0,added,10.1.1.14,10.1.1.14,1
0.500000,0,added,10.1.1.16,10.1.1.16,1
0.500000,0,added,10.1.1.17,10.1.1.17,1
0.500000,0,added,10.1.1.18,10.1.1.18,1
0.500000,0,added,10.1.1.2,10.1.1.2,1
0.500000,0,added,10.1.1.255,10.1.1.255,1
0.500000,0,added,10.1.1.3,10.1.1.3,1
0.500000,0,added,10.1.1.4,10.1.1.4,1
0.500000,0,added,10.1.1.7,10.1.1.7,1
0.500000,0,added,10.1.1.8,10.1.1.8,1
0.500000,0,added,10.1.1.9,10.1.1.9,1
0.500000,0,added,127.0.0.1,127.0.0.1,1
0.500000,1,added,10.1.1.10,10.1.1.10,1
0.500000,1,added,10.1.1.12,10.1.1.12,1
0.500000,1,added,10.1.1.13,10.1.1.13,1
0.500000,1,added,10.1.1.14,10.1.1.14,1
0.500000,1,added,10.1.1.15,10.1.1.15,1
0.500000,1,added,10.1.1.16,10.1.1.16,1
0.500000,1,added,10.1.1.17,10.1.1.17,1
0.500000,1,added,10.1.1.18,10.1.1.18,1
0.500000,1,added,10.1.1.19,10.1.1.19,1
0.500000,1,added,10.1.1.255,10.1.1.255,1
0.500000,1,added,10.1.1.3,10.1.1.3,1
0.500000,1,added,10.1.1.4,10.1.1.4,1
0.500000,1,added,10.1.1.7,10.1.1.7,1
0.500000,1,added,10.1.1.8,10.1.1.8,1
0.500000,1,added,10.1.1.9,10.1.1.9,1
0.500000,1,added,127.0.0.1,127.0.0.1,1
0.500000,2,added,10.1.1.10,10.1.1.10,1
0.500000,2,added,10.1.1.12,10.1.1.12,1
0.500000,2,added,10.1.1.13,10.1.1.13,1
0.500000,2,added,10.1.1.14,10.1.1.14,1
0.500000,2,added,10.1.1.15,10.1.1.15,1
0.500000,2,added,10.1.1.16,10.1.1.16,1
0.500000,2,added,10.1.1.17,10.1.1.17,1
0.500000,2,added,10.1.1.18,10.1.1.18,1
0.500000,2,added,10.1.1.19,10.1.1.19,1
0.500000,2,added,10.1.1.2,10.1.1.2,1
0.500000,2,added,10.1.1.20,10.1.1.20,1
0.500000,2,added,10.1.1.255,10.1.1.255,1
0.500000,2,added,10.1.1.4,10.1.1.4,1
0.500000,2,added,10.1.1.7,10.1.1.7,1
0.500000,2,added,10.1.1.8,10.1.1.8,1
0.500000,2,added,10.1.1.9,10.1.1.9,1
0.500000,2,added,127.0.0.1,127.0.0.1,1
0.500000,3,added,10.1.1.10,10.1.1.10,1
0.500000,3,added,10.1.1.12,10.1.1.12,1
0.500000,3,added,10.1.1.13,10.1.1.13,1
0.500000,3,added,10.1.1.14,10.1.1.14,1
0.500000,3,added,10.1.1.15,10.1.1.15,1
0.500000,3,added,10.1.1.17,10.1.1.17,1
0.500000,3,added,10.1.1.18,10.1.1.18,1
0.500000,3,added,10.1.1.19,10.1.1.19,1
0.500000,3,added,10.1.1.2,10.1.1.2,1
0.500000,3,added,10.1.1.20,10.1.1.20,1
0.500000,3,added,10.1.1.255,10.1.1.255,1
0.500000,3,added,10.1.1.3,10.1.1.3,1
0.500000,3,added,10.1.1.5,10.1.1.5,1
0.500000,3,added,10.1.1.7,10.1.1.7,1
0.500000,3,added,10.1.1.8,10.1.1.8,1
0.500000,3,added,10.1.1.9,10.1.1.9,1
0.500000,3,added,127.0.0.1,127.0.0.1,1
0.500000,4,added,10.1.1.10,10.1.1.10,1
0.500000,4,added,10.1.1.12,10.1.1.12,1
0.500000,4,added,10.1.1.13,10.1.1.13,1
0.500000,4,added,10.1.1.14,10.1.1.14,1
0.500000,4,added,10.1.1.15,10.1.1.15,1
0.500000,4,added,10.1.1.18,10.1.1.18,1
0.500000,4,added,10.1.1.19,10.1.1.19,1
0.500000,4,added,10.1.1.2,10.1.1.2,1
0.500000,4,added,10.1.1.20,10.1.1.20,1
0.500000,4,added,10.1.1.255,10.1.1.255,1
0.500000,4,added,10.1.1.3,10.1.1.3,1
0.500000,4,added,10.1.1.4,10.1.1.4,1
0.500000,4,added,10.1.1.7,10.1.1.7,1
0.500000,4,added,10.1.1.8,10.1.1.8,1
0.500000,4,added,10.1.1.9,10.1.1.9,1
0.500000,4,added,127.0.0.1,127.0.0.1,1
0.500000,5,added,10.1.1.11,10.1.1.11,1
