time,node,posX,posY,posZ,velX,velY,velZ
0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,2,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,3,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,4,400.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,5,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,6,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,7,200.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,8,300.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,9,400.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,10,0.000000,200.000000,0.000000,0.000000,0.000000,0.000000
0.000000,11,100.000000,200.000000,0.000000,0.000000,0.000000,0.000000
0.000000,12,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000
0.000000,13,300.000000,200.000000,0.000000,0.000000,0.000000,0.000000
0.000000,14,400.000000,200.000000,0.000000,0.000000,0.000000,0.000000
0.000000,15,0.000000,300.000000,0.000000,0.000000,0.000000,0.000000
0.000000,16,100.000000,300.000000,0.000000,0.000000,0.000000,0.000000
0.000000,17,200.000000,300.000000,0.000000,0.000000,0.000000,0.000000
0.000000,18,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000
0.000000,19,400.000000,300.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,2,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,3,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,4,400.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,5,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,6,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,7,200.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,8,300.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,9,400.000000,100.000000,0.000000,0.000000,0.000000,0.000000
