time,node,src,dst,hopcount,interface
1.251000,0,10.1.1.1,10.1.1.20,0,1
1.254000,4,10.1.1.5,10.1.1.16,0,1
1.254000,5,10.1.1.6,10.1.1.15,0,1
1.254946,3,10.1.1.5,10.1.1.16,0,1
1.254946,9,10.1.1.5,10.1.1.16,0,1
1.254946,0,10.1.1.6,10.1.1.15,0,1
1.254946,6,10.1.1.6,10.1.1.15,0,1
1.254946,10,10.1.1.6,10.1.1.15,0,1
1.254946,8,10.1.1.5,10.1.1.16,0,1
1.254946,1,10.1.1.6,10.1.1.15,0,1
1.254946,11,10.1.1.6,10.1.1.15,0,1
1.254947,14,10.1.1.5,10.1.1.16,0,1
1.254947,15,10.1.1.6,10.1.1.15,0,1
1.254947,16,10.1.1.6,10.1.1.15,0,1
1.255000,9,10.1.1.10,10.1.1.11,0,1
1.255946,4,10.1.1.10,10.1.1.11,0,1
1.255946,14,10.1.1.10,10.1.1.11,0,1
1.493000,0,10.1.1.1,10.1.1.20,0,1
1.493946,1,10.1.1.1,10.1.1.20,0,1
1.493946,5,10.1.1.1,10.1.1.20,0,1
1.493946,6,10.1.1.1,10.1.1.20,0,1
1.493947,2,10.1.1.1,10.1.1.20,0,1
1.493947,10,10.1.1.1,10.1.1.20,0,1
1.493947,7,10.1.1.1,10.1.1.20,0,1
1.493947,11,10.1.1.1,10.1.1.20,0,1
1.493947,12,10.1.1.1,10.1.1.20,0,1
1.493947,3,10.1.1.1,10.1.1.20,0,1
1.493947,15,10.1.1.1,10.1.1.20,0,1
1.493947,8,10.1.1.1,10.1.1.20,0,1
1.493947,16,10.1.1.1,10.1.1.20,0,1
1.493947,13,10.1.1.1,10.1.1.20,0,1
1.493947,17,10.1.1.1,10.1.1.20,0,1
1.494947,15,10.1.1.1,10.1.1.20,1,1
1.497946,1,10.1.1.1,10.1.1.20,1,1
1.499193,0,10.1.1.1,10.1.1.20,1,1
1.499193,5,10.1.1.1,10.1.1.20,1,1
1.499194,10,10.1.1.1,10.1.1.20,1,1
1.500000,9,10.1.1.10,10.1.1.11,0,1
1.500947,10,10.1.1.1,10.1.1.20,1,1
1.503342,5,10.1.1.1,10.1.1.20,1,1
1.503946,5,10.1.1.1,10.1.1.20,1,1
1.506178,4,10.1.1.10,10.1.1.11,0,1
1.506178,8,10.1.1.10,10.1.1.11,0,1
1.506178,3,10.1.1.10,10.1.1.11,0,1
1.510178,4,10.1.1.10,10.1.1.11,1,1
1.511124,9,10.1.1.10,10.1.1.11,1,1
1.511124,14,10.1.1.10,10.1.1.11,1,1
1.512124,14,10.1.1.10,10.1.1.11,2,1
1.513896,9,10.1.1.10,10.1.1.11,2,1
1.513896,13,10.1.1.10,10.1.1.11,2,1
1.513896,19,10.1.1.10,10.1.1.11,2,1
1.513896,8,10.1.1.10,10.1.1.11,2,1
1.513896,18,10.1.1.10,10.1.1.11,2,1
1.513896,4,10.1.1.10,10.1.1.11,2,1
1.513896,12,10.1.1.10,10.1.1.11,2,1
1.513896,3,10.1.1.10,10.1.1.11,2,1
1.513896,7,10.1.1.10,10.1.1.11,2,1
1.513896,17,10.1.1.10,10.1.1.11,2,1
