time,context,src,dst,size,reason,interface
13.221467,/NodeList/30/$ns3::Ipv4L3Protocol/Drop,10.1.1.17,10.1.1.5,20,1,1
14.273283,/NodeList/1/$ns3::Ipv4L3Protocol/Drop,10.1.1.8,10.1.1.11,28,1,1
14.286529,/NodeList/23/$ns3::Ipv4L3Protocol/Drop,10.1.1.32,10.1.1.10,28,1,1
15.639954,/NodeList/8/$ns3::Ipv4L3Protocol/Drop,10.1.1.12,10.1.1.40,30,1,1
15.654115,/NodeList/0/$ns3::Ipv4L3Protocol/Drop,10.1.1.2,10.1.1.12,30,2,1
16.706360,/NodeList/10/$ns3::Ipv4L3Protocol/Drop,10.1.1.18,10.1.1.15,20,1,1
16.721959,/NodeList/3/$ns3::Ipv4L3Protocol/Drop,10.1.1.2,10.1.1.6,28,1,1
18.294804,/NodeList/36/$ns3::Ipv4L3Protocol/Drop,10.1.1.22,10.1.1.32,28,1,1
18.816904,/NodeList/33/$ns3::Ipv4L3Protocol/Drop,10.1.1.40,10.1.1.37,20,1,1
21.168123,/NodeList/24/$ns3::Ipv4L3Protocol/Drop,10.1.1.24,10.1.1.38,10,1,1
21.361045,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
21.364229,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
21.528554,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
21.637259,/NodeList/23/$ns3::Ipv4L3Protocol/Drop,10.1.1.6,10.1.1.32,10,1,1
21.770193,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
21.782786,/NodeList/9/$ns3::Ipv4L3Protocol/Drop,10.1.1.6,10.1.1.25,10,1,1
22.023127,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
22.267004,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
22.511697,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
22.763021,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
23.048242,/NodeList/25/$ns3::Ipv4L3Protocol/Drop,10.1.1.12,10.1.1.32,10,2,1
23.060026,/NodeList/12/$ns3::Ipv4L3Protocol/Drop,10.1.1.12,10.1.1.33,10,1,1
23.070962,/NodeList/21/$ns3::Ipv4L3Protocol/Drop,10.1.1.36,10.1.1.25,28,1,1
23.095471,/NodeList/9/$ns3::Ipv4L3Protocol/Drop,10.1.1.12,10.1.1.25,10,1,1
23.129674,/NodeList/12/$ns3::Ipv4L3Protocol/Drop,10.1.1.5,10.1.1.18,10,1,1
23.157032,/NodeList/20/$ns3::Ipv4L3Protocol/Drop,10.1.1.12,10.1.1.29,520,2,1
23.167539,/NodeList/25/$ns3::Ipv4L3Protocol/Drop,10.1.1.12,10.1.1.34,10,1,1
23.233551,/NodeList/12/$ns3::Ipv4L3Protocol/Drop,10.1.1.12,10.1.1.30,10,1,1
23.239007,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
23.264682,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
23.288566,/NodeList/20/$ns3::Ipv4L3Protocol/Drop,10.1.1.12,10.1.1.29,520,2,1
23.319260,/NodeList/24/$ns3::Ipv4L3Protocol/Drop,10.1.1.39,10.1.1.34,10,1,1
23.342957,/NodeList/38/$ns3::Ipv4L3Protocol/Drop,10.1.1.5,10.1.1.36,520,2,1
23.382353,/NodeList/4/$ns3::Ipv4L3Protocol/Drop,10.1.1.21,10.1.1.12,20,1,1
23.444074,/NodeList/14/$ns3::Ipv4L3Protocol/Drop,10.1.1.23,10.1.1.5,28,1,1
23.767227,/NodeList/20/$ns3::Ipv4L3Protocol/Drop,10.1.1.5,10.1.1.36,520,2,1
23.861934,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
23.892954,/NodeList/0/$ns3::Ipv4L3Protocol/Drop,10.1.1.16,10.1.1.23,30,1,1
23.947374,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
24.052420,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
24.077046,/NodeList/27/$ns3::Ipv4L3Protocol/Drop,10.1.1.33,10.1.1.34,10,1,1
24.151338,/NodeList/13/$ns3::Ipv4L3Protocol/Drop,10.1.1.6,10.1.1.35,520,2,1
