time,node,posX,posY,posZ,velX,velY,velZ
0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,2,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,3,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,4,400.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,5,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,6,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,7,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,8,200.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,9,300.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,10,400.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,11,500.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,12,0.000000,200.000000,0.000000,0.000000,0.000000,0.000000
0.000000,13,100.000000,200.000000,0.000000,0.000000,0.000000,0.000000
0.000000,14,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000
0.000000,15,300.000000,200.000000,0.000000,0.000000,0.000000,0.000000
0.000000,16,400.000000,200.000000,0.000000,0.000000,0.000000,0.000000
0.000000,17,500.000000,200.000000,0.000000,0.000000,0.000000,0.000000
0.000000,18,0.000000,300.000000,0.000000,0.000000,0.000000,0.000000
0.000000,19,100.000000,300.000000,0.000000,0.000000,0.000000,0.000000
0.000000,20,200.000000,300.000000,0.000000,0.000000,0.000000,0.000000
0.000000,21,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000
0.000000,22,400.000000,300.000000,0.000000,0.000000,0.000000,0.000000
0.000000,23,500.000000,300.000000,0.000000,0.000000,0.000000,0.000000
0.000000,24,0.000000,400.000000,0.000000,0.000000,0.000000,0.000000
0.000000,25,100.000000,400.000000,0.000000,0.000000,0.000000,0.000000
0.000000,26,200.000000,400.000000,0.000000,0.000000,0.000000,0.000000
0.000000,27,300.000000,400.000000,0.000000,0.000000,0.000000,0.000000
0.000000,28,400.000000,400.000000,0.000000,0.000000,0.000000,0.000000
0.000000,29,500.000000,400.000000,0.000000,0.000000,0.000000,0.000000
