time,node,src,dst,hopcount,interface
1.254946,6,10.1.1.6,10.1.1.15,1,1
1.254946,6,10.1.1.15,10.1.1.6,1,1
1.254946,8,10.1.1.5,10.1.1.16,1,1
1.254946,8,10.1.1.16,10.1.1.5,1,1
1.254946,1,10.1.1.6,10.1.1.15,1,1
1.254946,1,10.1.1.15,10.1.1.6,1,1
1.254946,11,10.1.1.6,10.1.1.15,1,1
1.254946,11,10.1.1.15,10.1.1.6,1,1
1.254947,16,10.1.1.6,10.1.1.15,1,1
1.254947,16,10.1.1.15,10.1.1.6,1,1
1.270978,14,10.1.1.15,10.1.1.6,1,1
1.272240,14,10.1.1.15,10.1.1.6,1,1
1.277898,4,10.1.1.5,10.1.1.16,1,1
1.279401,14,10.1.1.15,10.1.1.6,1,1
1.282949,5,10.1.1.6,10.1.1.15,1,1
1.284010,5,10.1.1.6,10.1.1.15,1,1
1.285371,5,10.1.1.6,10.1.1.15,1,1
1.286912,5,10.1.1.6,10.1.1.15,1,1
1.289392,15,10.1.1.16,10.1.1.5,1,1
1.493946,6,10.1.1.1,10.1.1.20,1,1
1.493946,6,10.1.1.20,10.1.1.1,1,1
1.493947,2,10.1.1.1,10.1.1.20,1,1
1.493947,2,10.1.1.20,10.1.1.1,1,1
1.493947,7,10.1.1.1,10.1.1.20,1,1
1.493947,7,10.1.1.20,10.1.1.1,1,1
1.493947,11,10.1.1.1,10.1.1.20,1,1
1.493947,11,10.1.1.20,10.1.1.1,1,1
1.493947,12,10.1.1.1,10.1.1.20,1,1
1.493947,12,10.1.1.20,10.1.1.1,1,1
1.493947,3,10.1.1.1,10.1.1.20,1,1
1.493947,3,10.1.1.20,10.1.1.1,1,1
1.493947,8,10.1.1.1,10.1.1.20,1,1
1.493947,8,10.1.1.20,10.1.1.1,1,1
1.493947,16,10.1.1.1,10.1.1.20,1,1
1.493947,16,10.1.1.20,10.1.1.1,1,1
1.493947,13,10.1.1.1,10.1.1.20,1,1
1.493947,13,10.1.1.20,10.1.1.1,1,1
1.493947,17,10.1.1.1,10.1.1.20,1,1
1.493947,17,10.1.1.20,10.1.1.1,1,1
1.500393,0,10.1.1.1,10.1.1.20,1,1
1.506178,8,10.1.1.10,10.1.1.11,1,1
1.506178,8,10.1.1.11,10.1.1.10,1,1
1.506178,3,10.1.1.10,10.1.1.11,1,1
1.506178,3,10.1.1.11,10.1.1.10,1,1
1.513896,13,10.1.1.10,10.1.1.11,1,1
1.513896,13,10.1.1.11,10.1.1.10,3,1
1.513896,18,10.1.1.10,10.1.1.11,1,1
1.513896,18,10.1.1.11,10.1.1.10,3,1
1.513896,12,10.1.1.10,10.1.1.11,1,1
1.513896,12,10.1.1.11,10.1.1.10,3,1
1.513896,7,10.1.1.10,10.1.1.11,1,1
1.513896,7,10.1.1.11,10.1.1.10,3,1
1.513896,17,10.1.1.10,10.1.1.11,1,1
1.513896,17,10.1.1.11,10.1.1.10,3,1
1.513896,2,10.1.1.10,10.1.1.11,1,1
1.513896,2,10.1.1.11,10.1.1.10,3,1
1.513897,11,10.1.1.10,10.1.1.11,1,1
1.513897,11,10.1.1.11,10.1.1.10,3,1
1.513897,16,10.1.1.10,10.1.1.11,1,1
1.513897,16,10.1.1.11,10.1.1.10,3,1
1.521909,14,10.1.1.10,10.1.1.11,1,1
1.521909,14,10.1.1.10,10.1.1.11,2,1
1.524561,9,10.1.1.10,10.1.1.11,1,1
1.528862,10,10.1.1.11,10.1.1.10,1,1
1.538189,14,10.1.1.10,10.1.1.11,1,1
1.538189,14,10.1.1.10,10.1.1.11,2,1
1.538768,9,10.1.1.10,10.1.1.11,1,1
1.543868,14,10.1.1.10,10.1.1.11,1,1
1.543868,14,10.1.1.10,10.1.1.11,2,1
1.549764,19,10.1.1.20,10.1.1.1,1,1
1.552181,14,10.1.1.10,10.1.1.11,1,1
1.552181,14,10.1.1.10,10.1.1.11,2,1
1.553304,19,10.1.1.20,10.1.1.1,1,1
1.554366,14,10.1.1.10,10.1.1.11,1,1
1.554366,14,10.1.1.10,10.1.1.11,2,1
1.555408,19,10.1.1.20,10.1.1.1,1,1
1.558373,14,10.1.1.10,10.1.1.11,1,1
1.558373,14,10.1.1.10,10.1.1.11,2,1
1.559012,4,10.1.1.10,10.1.1.11,2,1
1.559012,4,10.1.1.10,10.1.1.11,3,1
1.559831,4,10.1.1.10,10.1.1.11,2,1
1.559831,4,10.1.1.10,10.1.1.11,3,1
1.560934,19,10.1.1.20,10.1.1.1,1,1
1.562846,19,10.1.1.20,10.1.1.1,1,1
1.563645,4,10.1.1.10,10.1.1.11,2,1
1.563645,4,10.1.1.10,10.1.1.11,3,1
1.568797,4,10.1.1.10,10.1.1.11,2,1
1.568797,4,10.1.1.10,10.1.1.11,3,1
1.569576,9,10.1.1.10,10.1.1.11,3,1
1.570275,4,10.1.1.10,10.1.1.11,2,1
1.570275,4,10.1.1.10,10.1.1.11,3,1
1.572252,9,10.1.1.10,10.1.1.11,3,1
1.572891,4,10.1.1.10,10.1.1.11,2,1
1.572891,4,10.1.1.10,10.1.1.11,3,1
1.573449,9,10.1.1.10,10.1.1.11,3,1
1.575566,9,10.1.1.10,10.1.1.11,3,1
1.576264,9,10.1.1.10,10.1.1.11,3,1
1.578380,9,10.1.1.10,10.1.1.11,3,1
1.592264,18,10.1.1.1,10.1.1.20,1,1
1.592264,18,10.1.1.20,10.1.1.1,2,1
1.593986,19,10.1.1.20,10.1.1.1,2,1
1.595572,0,10.1.1.1,10.1.1.20,1,1
1.598286,0,10.1.1.1,10.1.1.20,1,1
1.599708,0,10.1.1.1,10.1.1.20,1,1
1.601350,0,10.1.1.1,10.1.1.20,1,1
1.611207,10,10.1.1.11,10.1.1.10,3,1
1.612994,10,10.1.1.11,10.1.1.10,3,1
1.617529,10,10.1.1.11,10.1.1.10,3,1
1.618949,10,10.1.1.11,10.1.1.10,3,1
1.620512,10,10.1.1.11,10.1.1.10,1,1
1.621593,10,10.1.1.11,10.1.1.10,3,1
1.623214,10,10.1.1.11,10.1.1.10,3,1
2.265501,14,10.1.1.10,10.1.1.11,1,1
2.265501,14,10.1.1.10,10.1.1.11,2,1
2.266020,4,10.1.1.10,10.1.1.11,2,1
2.266020,4,10.1.1.10,10.1.1.11,3,1
2.266538,9,10.1.1.10,10.1.1.11,3,1
2.268816,10,10.1.1.11,10.1.1.10,3,1
2.269575,14,10.1.1.15,10.1.1.6,1,1
2.270355,14,10.1.1.10,10.1.1.11,1,1
2.270355,14,10.1.1.10,10.1.1.11,2,1
2.270874,4,10.1.1.10,10.1.1.11,2,1
2.270874,4,10.1.1.10,10.1.1.11,3,1
2.271392,9,10.1.1.10,10.1.1.11,3,1
2.286303,0,10.1.1.1,10.1.1.20,1,1
2.292281,19,10.1.1.20,10.1.1.1,1,1
2.293863,19,10.1.1.20,10.1.1.1,1,1
2.509951,10,10.1.1.11,10.1.1.10,3,1
2.522283,19,10.1.1.20,10.1.1.1,1,1
3.268685,0,10.1.1.1,10.1.1.20,1,1
3.529631,5,10.1.1.1,10.1.1.20,1,1
3.529631,5,10.1.1.1,10.1.1.20,2,1
3.534413,0,10.1.1.1,10.1.1.20,2,1
7.753780,13,10.1.1.2,10.1.1.19,1,1
7.753780,13,10.1.1.19,10.1.1.2,1,1
7.753780,17,10.1.1.2,10.1.1.19,1,1
7.753780,17,10.1.1.19,10.1.1.2,1,1
7.753780,14,10.1.1.2,10.1.1.19,1,1
7.753780,14,10.1.1.19,10.1.1.2,1,1
7.754085,18,10.1.1.19,10.1.1.2,1,1
7.756382,18,10.1.1.2,10.1.1.19,0,1
7.756382,19,10.1.1.2,10.1.1.19,1,1
7.756382,19,10.1.1.19,10.1.1.2,2,1
7.765084,18,10.1.1.19,10.1.1.2,2,1
7.777524,1,10.1.1.2,10.1.1.19,1,1
7.780781,18,10.1.1.19,10.1.1.2,1,1
7.781380,1,10.1.1.2,10.1.1.19,1,1
7.784979,18,10.1.1.19,10.1.1.2,1,1
7.785538,3,10.1.1.2,10.1.1.19,0,1
7.785538,3,10.1.1.2,10.1.1.19,1,1
7.790735,1,10.1.1.2,10.1.1.19,1,1
9.771411,1,10.1.1.2,10.1.1.19,1,1
10.252947,11,10.1.1.10,10.1.1.11,1,1
10.252947,11,10.1.1.11,10.1.1.10,1,1
