time,context,src,dst,size,reason,interface
2.086392,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.4,10.1.1.24,20,1,1
2.166782,/NodeList/22/$ns3::Ipv4L3Protocol/Drop,10.1.1.22,10.1.1.24,20,1,1
2.196446,/NodeList/10/$ns3::Ipv4L3Protocol/Drop,10.1.1.21,10.1.1.24,20,1,1
2.208583,/NodeList/11/$ns3::Ipv4L3Protocol/Drop,10.1.1.15,10.1.1.24,20,1,1
2.230960,/NodeList/14/$ns3::Ipv4L3Protocol/Drop,10.1.1.9,10.1.1.24,20,1,1
2.484902,/NodeList/19/$ns3::Ipv4L3Protocol/Drop,10.1.1.27,10.1.1.24,20,1,1
3.390458,/NodeList/8/$ns3::Ipv4L3Protocol/Drop,10.1.1.15,10.1.1.17,10,1,1
3.507718,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.20,10.1.1.17,10,1,1
3.516243,/NodeList/18/$ns3::Ipv4L3Protocol/Drop,10.1.1.26,10.1.1.10,10,1,1
3.530080,/NodeList/8/$ns3::Ipv4L3Protocol/Drop,10.1.1.15,10.1.1.14,10,1,1
3.571362,/NodeList/27/$ns3::Ipv4L3Protocol/Drop,10.1.1.9,10.1.1.26,20,1,1
3.618405,/NodeList/14/$ns3::Ipv4L3Protocol/Drop,10.1.1.16,10.1.1.30,10,1,1
3.792604,/NodeList/14/$ns3::Ipv4L3Protocol/Drop,10.1.1.5,10.1.1.26,520,2,1
4.112188,/NodeList/26/$ns3::Ipv4L3Protocol/Drop,10.1.1.21,10.1.1.30,10,1,1
4.426640,/NodeList/20/$ns3::Ipv4L3Protocol/Drop,10.1.1.13,10.1.1.18,520,2,1
4.428167,/NodeList/20/$ns3::Ipv4L3Protocol/Drop,10.1.1.13,10.1.1.18,520,2,1
4.467200,/NodeList/0/$ns3::Ipv4L3Protocol/Drop,10.1.1.13,10.1.1.3,20,1,1
4.529185,/NodeList/13/$ns3::Ipv4L3Protocol/Drop,10.1.1.8,10.1.1.28,10,1,1
4.589873,/NodeList/20/$ns3::Ipv4L3Protocol/Drop,10.1.1.8,10.1.1.25,10,1,1
4.605582,/NodeList/4/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.19,10,1,1
4.941826,/NodeList/15/$ns3::Ipv4L3Protocol/Drop,10.1.1.12,10.1.1.28,30,1,1
4.965933,/NodeList/21/$ns3::Ipv4L3Protocol/Drop,10.1.1.13,10.1.1.28,10,1,1
5.081332,/NodeList/16/$ns3::Ipv4L3Protocol/Drop,10.1.1.18,10.1.1.30,20,1,1
5.116273,/NodeList/22/$ns3::Ipv4L3Protocol/Drop,10.1.1.28,10.1.1.24,28,1,1
5.139335,/NodeList/15/$ns3::Ipv4L3Protocol/Drop,10.1.1.28,10.1.1.30,10,1,1
5.201571,/NodeList/8/$ns3::Ipv4L3Protocol/Drop,10.1.1.28,10.1.1.18,10,1,1
5.388656,/NodeList/22/$ns3::Ipv4L3Protocol/Drop,10.1.1.22,10.1.1.29,10,1,1
5.457983,/NodeList/9/$ns3::Ipv4L3Protocol/Drop,10.1.1.28,10.1.1.17,10,1,1
5.479276,/NodeList/18/$ns3::Ipv4L3Protocol/Drop,10.1.1.1,10.1.1.30,520,2,1
5.482366,/NodeList/18/$ns3::Ipv4L3Protocol/Drop,10.1.1.1,10.1.1.30,520,2,1
5.496755,/NodeList/6/$ns3::Ipv4L3Protocol/Drop,10.1.1.8,10.1.1.19,10,1,1
5.500001,/NodeList/21/$ns3::Ipv4L3Protocol/Drop,10.1.1.13,10.1.1.18,520,2,1
5.575034,/NodeList/21/$ns3::Ipv4L3Protocol/Drop,10.1.1.13,10.1.1.18,520,2,1
5.595777,/NodeList/15/$ns3::Ipv4L3Protocol/Drop,10.1.1.4,10.1.1.8,28,1,1
5.628715,/NodeList/23/$ns3::Ipv4L3Protocol/Drop,10.1.1.12,10.1.1.29,30,1,1
5.688631,/NodeList/21/$ns3::Ipv4L3Protocol/Drop,10.1.1.16,10.1.1.29,10,1,1
5.706849,/NodeList/24/$ns3::Ipv4L3Protocol/Drop,10.1.1.26,10.1.1.29,10,1,1
6.014254,/NodeList/24/$ns3::Ipv4L3Protocol/Drop,10.1.1.13,10.1.1.18,520,2,1
