time,node,posX,posY,posZ,velX,velY,velZ
0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,2,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,3,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,4,400.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,5,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,6,600.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,7,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,8,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,9,200.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,10,300.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,11,400.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,12,500.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,13,600.000000,100.000000,0.000000,0.000000,0.000000,0.000000
0.000000,14,0.000000,200.000000,0.000000,0.000000,0.000000,0.000000
0.000000,15,100.000000,200.000000,0.000000,0.000000,0.000000,0.000000
0.000000,16,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000
0.000000,17,300.000000,200.000000,0.000000,0.000000,0.000000,0.000000
0.000000,18,400.000000,200.000000,0.000000,0.000000,0.000000,0.000000
0.000000,19,500.000000,200.000000,0.000000,0.000000,0.000000,0.000000
0.000000,20,600.000000,200.000000,0.000000,0.000000,0.000000,0.000000
0.000000,21,0.000000,300.000000,0.000000,0.000000,0.000000,0.000000
0.000000,22,100.000000,300.000000,0.000000,0.000000,0.000000,0.000000
0.000000,23,200.000000,300.000000,0.000000,0.000000,0.000000,0.000000
0.000000,24,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000
0.000000,25,400.000000,300.000000,0.000000,0.000000,0.000000,0.000000
0.000000,26,500.000000,300.000000,0.000000,0.000000,0.000000,0.000000
0.000000,27,600.000000,300.000000,0.000000,0.000000,0.000000,0.000000
0.000000,28,0.000000,400.000000,0.000000,0.000000,0.000000,0.000000
0.000000,29,100.000000,400.000000,0.000000,0.000000,0.000000,0.000000
