time,context,src,dst,size,reason,interface
14.280847,/NodeList/8/$ns3::Ipv4L3Protocol/Drop,10.1.1.10,10.1.1.11,520,2,1
14.729472,/NodeList/5/$ns3::Ipv4L3Protocol/Drop,10.1.1.5,10.1.1.1,10,1,1
14.743461,/NodeList/13/$ns3::Ipv4L3Protocol/Drop,10.1.1.9,10.1.1.1,10,1,1
15.124682,/NodeList/17/$ns3::Ipv4L3Protocol/Drop,10.1.1.10,10.1.1.19,10,1,1
16.050316,/NodeList/13/$ns3::Ipv4L3Protocol/Drop,10.1.1.5,10.1.1.12,10,1,1
16.096868,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.2,10.1.1.13,10,1,1
16.121551,/NodeList/14/$ns3::Ipv4L3Protocol/Drop,10.1.1.20,10.1.1.5,20,1,1
16.285975,/NodeList/6/$ns3::Ipv4L3Protocol/Drop,10.1.1.10,10.1.1.1,10,1,1
17.086749,/NodeList/1/$ns3::Ipv4L3Protocol/Drop,10.1.1.6,10.1.1.12,10,1,1
17.103975,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.6,10.1.1.13,10,1,1
18.040027,/NodeList/6/$ns3::Ipv4L3Protocol/Drop,10.1.1.14,10.1.1.1,20,1,1
18.058372,/NodeList/17/$ns3::Ipv4L3Protocol/Drop,10.1.1.8,10.1.1.20,10,1,1
18.113547,/NodeList/14/$ns3::Ipv4L3Protocol/Drop,10.1.1.17,10.1.1.19,10,1,1
18.163055,/NodeList/13/$ns3::Ipv4L3Protocol/Drop,10.1.1.17,10.1.1.12,10,1,1
27.294302,/NodeList/16/$ns3::Ipv4L3Protocol/Drop,10.1.1.7,10.1.1.5,20,2,1
27.341118,/NodeList/5/$ns3::Ipv4L3Protocol/Drop,10.1.1.12,10.1.1.5,20,1,1
27.348051,/NodeList/13/$ns3::Ipv4L3Protocol/Drop,10.1.1.7,10.1.1.8,10,1,1
27.359114,/NodeList/13/$ns3::Ipv4L3Protocol/Drop,10.1.1.7,10.1.1.13,10,1,1
27.419982,/NodeList/11/$ns3::Ipv4L3Protocol/Drop,10.1.1.7,10.1.1.3,10,1,1
27.497708,/NodeList/5/$ns3::Ipv4L3Protocol/Drop,10.1.1.9,10.1.1.13,10,1,1
27.547044,/NodeList/9/$ns3::Ipv4L3Protocol/Drop,10.1.1.4,10.1.1.17,520,2,1
27.552449,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.7,10.1.1.15,10,1,1
27.624558,/NodeList/16/$ns3::Ipv4L3Protocol/Drop,10.1.1.9,10.1.1.15,10,1,1
27.638190,/NodeList/16/$ns3::Ipv4L3Protocol/Drop,10.1.1.5,10.1.1.15,10,1,1
27.684525,/NodeList/13/$ns3::Ipv4L3Protocol/Drop,10.1.1.11,10.1.1.8,10,1,1
27.694168,/NodeList/6/$ns3::Ipv4L3Protocol/Drop,10.1.1.11,10.1.1.15,10,1,1
27.726369,/NodeList/0/$ns3::Ipv4L3Protocol/Drop,10.1.1.9,10.1.1.17,10,1,1
27.770105,/NodeList/0/$ns3::Ipv4L3Protocol/Drop,10.1.1.5,10.1.1.17,10,1,1
27.845234,/NodeList/8/$ns3::Ipv4L3Protocol/Drop,10.1.1.2,10.1.1.15,10,1,1
27.885096,/NodeList/8/$ns3::Ipv4L3Protocol/Drop,10.1.1.5,10.1.1.8,10,1,1
27.888638,/NodeList/3/$ns3::Ipv4L3Protocol/Drop,10.1.1.5,10.1.1.13,10,1,1
27.930867,/NodeList/8/$ns3::Ipv4L3Protocol/Drop,10.1.1.2,10.1.1.16,10,1,1
27.954033,/NodeList/8/$ns3::Ipv4L3Protocol/Drop,10.1.1.1,10.1.1.15,10,1,1
28.355344,/NodeList/12/$ns3::Ipv4L3Protocol/Drop,10.1.1.12,10.1.1.8,10,1,1
29.291612,/NodeList/5/$ns3::Ipv4L3Protocol/Drop,10.1.1.11,10.1.1.5,20,1,1
