time,node,src,dst,hopcount,interface
1.250000,7,10.1.1.8,10.1.1.33,0,1
1.252000,5,10.1.1.6,10.1.1.35,0,1
1.253000,1,10.1.1.2,10.1.1.39,0,1
1.253000,2,10.1.1.3,10.1.1.38,0,1
1.253946,0,10.1.1.2,10.1.1.39,0,1
1.253946,3,10.1.1.3,10.1.1.38,0,1
1.255000,6,10.1.1.7,10.1.1.34,0,1
1.255946,5,10.1.1.7,10.1.1.34,0,1
1.255946,13,10.1.1.7,10.1.1.34,0,1
1.255946,12,10.1.1.7,10.1.1.34,0,1
1.256000,0,10.1.1.1,10.1.1.40,0,1
1.256000,4,10.1.1.5,10.1.1.36,0,1
1.256946,1,10.1.1.1,10.1.1.40,0,1
1.256946,7,10.1.1.1,10.1.1.40,0,1
1.256946,3,10.1.1.5,10.1.1.36,0,1
1.256946,5,10.1.1.5,10.1.1.36,0,1
1.256946,11,10.1.1.5,10.1.1.36,0,1
1.256946,8,10.1.1.1,10.1.1.40,0,1
1.256946,10,10.1.1.5,10.1.1.36,0,1
1.256946,12,10.1.1.5,10.1.1.36,0,1
1.256947,14,10.1.1.1,10.1.1.40,0,1
1.256947,6,10.1.1.5,10.1.1.36,0,1
1.256947,18,10.1.1.5,10.1.1.36,0,1
1.256947,13,10.1.1.5,10.1.1.36,0,1
1.256947,19,10.1.1.5,10.1.1.36,0,1
1.256947,20,10.1.1.5,10.1.1.36,0,1
1.256947,26,10.1.1.5,10.1.1.36,0,1
1.256947,27,10.1.1.5,10.1.1.36,0,1
1.257000,11,10.1.1.12,10.1.1.29,0,1
1.257000,18,10.1.1.19,10.1.1.22,0,1
1.258000,3,10.1.1.4,10.1.1.37,0,1
1.258000,14,10.1.1.15,10.1.1.26,0,1
1.258946,2,10.1.1.4,10.1.1.37,0,1
1.258946,4,10.1.1.4,10.1.1.37,0,1
1.258946,10,10.1.1.4,10.1.1.37,0,1
1.258946,7,10.1.1.15,10.1.1.26,0,1
1.258946,15,10.1.1.15,10.1.1.26,0,1
1.258946,21,10.1.1.15,10.1.1.26,0,1
1.258946,11,10.1.1.4,10.1.1.37,0,1
1.258946,22,10.1.1.15,10.1.1.26,0,1
1.258947,5,10.1.1.4,10.1.1.37,0,1
1.258947,28,10.1.1.15,10.1.1.26,0,1
1.258947,12,10.1.1.4,10.1.1.37,0,1
1.258947,18,10.1.1.4,10.1.1.37,0,1
1.258947,29,10.1.1.15,10.1.1.26,0,1
1.258947,19,10.1.1.4,10.1.1.37,0,1
1.258947,6,10.1.1.4,10.1.1.37,0,1
1.258947,35,10.1.1.15,10.1.1.26,0,1
1.258947,13,10.1.1.4,10.1.1.37,0,1
1.258947,36,10.1.1.15,10.1.1.26,0,1
1.491000,2,10.1.1.3,10.1.1.38,0,1
1.491000,5,10.1.1.6,10.1.1.35,0,1
1.491946,1,10.1.1.3,10.1.1.38,0,1
1.491946,3,10.1.1.3,10.1.1.38,0,1
1.491946,9,10.1.1.3,10.1.1.38,0,1
1.491946,4,10.1.1.6,10.1.1.35,0,1
1.491946,6,10.1.1.6,10.1.1.35,0,1
1.491946,12,10.1.1.6,10.1.1.35,0,1
1.491946,9,10.1.1.3,10.1.1.38,1,1
1.491946,8,10.1.1.3,10.1.1.38,0,1
1.491946,13,10.1.1.6,10.1.1.35,0,1
1.491947,0,10.1.1.3,10.1.1.38,0,1
1.491947,16,10.1.1.3,10.1.1.38,0,1
1.491947,19,10.1.1.6,10.1.1.35,0,1
1.491947,7,10.1.1.3,10.1.1.38,0,1
