NodeId,RxPackets,RxBytes,ThroughputKbps
0,15,1700,0.45
1,981,509600,135.89
2,1156,602164,160.58
3,721,370148,98.71
4,616,279418,74.51
5,41,12310,3.28
6,1810,953330,254.22
7,929,428124,114.17
8,1669,881148,234.97
9,45,15968,4.26
10,2658,1399610,373.23
11,1030,535396,142.77
12,1329,681958,181.86
13,1185,614860,163.96
14,1557,801968,213.86
15,451,226370,60.37
16,368,161464,43.06
17,61,24580,6.55
18,841,399560,106.55
19,782,396746,105.80
