NodeId,RxPackets,RxBytes,ThroughputKbps
0,1207,637374,169.97
1,1453,772300,205.95
2,1460,753460,200.92
3,205,94020,25.07
4,212,92890,24.77
5,1558,825978,220.26
6,11,1440,0.38
7,1007,519670,138.58
8,1884,975650,260.17
9,1704,886330,236.35
10,2294,1181506,315.07
11,1122,564846,150.63
12,1382,668770,178.34
13,1644,866550,231.08
14,144,60560,16.15
15,711,358750,95.67
16,730,308640,82.30
17,96,41928,11.18
18,8,400,0.11
19,171,86460,23.06
