[0/2] Re-checking globbed directories...
ninja: no work to do.

========================================
  AODV SIMULATOR
========================================
Protocol:  Standard AODV
Mode:      aodv
Nodes:     20
SimTime:   30 s
Speed:     25..25 m/s
Flows:     10
Seed:      1
Trace:     false
ASCII PHY nodes: 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Flow trace: all src-dst pairs
Output:    targetsv2/targeted-80211-aodv-n20-f10-s25-results.csv
========================================

Network: 802.11b (11 Mbps PHY, Friis propagation)
Topology: 5x5 grid, 100 m spacing, area 500x500 m

Traffic flows (10):
  Flow 0: Node 0 -> Node 19
  Flow 1: Node 1 -> Node 18
  Flow 2: Node 2 -> Node 17
  Flow 3: Node 3 -> Node 16
  Flow 4: Node 4 -> Node 15
  Flow 5: Node 5 -> Node 14
  Flow 6: Node 6 -> Node 13
  Flow 7: Node 7 -> Node 12
  Flow 8: Node 8 -> Node 11
  Flow 9: Node 9 -> Node 10

Starting simulation...

========== Per-Flow Statistics ==========
Flow 50 (10.1.1.8 -> 10.1.1.15)  Tx=21  Rx=13  Lost=8  Delay=436 ms
Flow 51 (10.1.1.13 -> 10.1.1.6)  Tx=15  Rx=12  Lost=3  Delay=75 ms
Flow 52 (10.1.1.13 -> 10.1.1.15)  Tx=6  Rx=6  Lost=0  Delay=408 ms
Flow 53 (10.1.1.17 -> 10.1.1.6)  Tx=9  Rx=8  Lost=1  Delay=84 ms
Flow 54 (10.1.1.17 -> 10.1.1.15)  Tx=11  Rx=11  Lost=0  Delay=27 ms
Flow 55 (10.1.1.18 -> 10.1.1.6)  Tx=15  Rx=13  Lost=2  Delay=83 ms
Flow 56 (10.1.1.18 -> 10.1.1.15)  Tx=5  Rx=5  Lost=0  Delay=47 ms
Flow 57 (10.1.1.19 -> 10.1.1.6)  Tx=9  Rx=8  Lost=1  Delay=29 ms
Flow 58 (10.1.1.19 -> 10.1.1.15)  Tx=9  Rx=7  Lost=2  Delay=20 ms
Flow 59 (10.1.1.19 -> 10.1.1.16)  Tx=18  Rx=17  Lost=1  Delay=37 ms
Flow 60 (10.1.1.19 -> 10.1.1.11)  Tx=12  Rx=0  Lost=11
Flow 61 (10.1.1.19 -> 10.1.1.20)  Tx=6  Rx=6  Lost=0  Delay=318 ms
Flow 62 (10.1.1.9 -> 10.1.1.10)  Tx=18  Rx=13  Lost=5  Delay=228 ms
Flow 63 (10.1.1.9 -> 10.1.1.16)  Tx=32  Rx=23  Lost=9  Delay=397 ms
Flow 64 (10.1.1.14 -> 10.1.1.10)  Tx=6  Rx=0  Lost=6
Flow 65 (10.1.1.14 -> 10.1.1.16)  Tx=22  Rx=21  Lost=1  Delay=176 ms
Flow 66 (10.1.1.8 -> 10.1.1.10)  Tx=13  Rx=10  Lost=3  Delay=234 ms
Flow 67 (10.1.1.8 -> 10.1.1.16)  Tx=23  Rx=12  Lost=11  Delay=334 ms
Flow 68 (10.1.1.3 -> 10.1.1.10)  Tx=10  Rx=6  Lost=4  Delay=433 ms
