NodeId,RxPackets,RxBytes,ThroughputKbps
0,194,8492,2.26
1,213,9566,2.55
2,3036,1592340,424.62
3,535,176372,47.03
4,375,93868,25.03
5,1156,480468,128.12
6,556,251798,67.15
7,37,1790,0.48
8,346,14982,4.00
9,239,9802,2.61
10,175,39050,10.41
11,327,13532,3.61
12,276,11686,3.12
13,194,84650,22.57
14,1591,813598,216.96
15,115,20560,5.48
16,325,132596,35.36
17,2338,1213956,323.72
18,130,5882,1.57
19,350,14454,3.85
