NodeId,RxPackets,RxBytes,ThroughputKbps
0,225,9362,2.50
1,131,6402,1.71
2,3739,1968438,524.92
3,656,263960,70.39
4,711,156298,41.68
5,1693,881808,235.15
6,988,462016,123.20
7,34,1480,0.39
8,414,16794,4.48
9,0,0,0.00
10,9,430,0.11
11,91,3782,1.01
12,69,2804,0.75
13,408,182428,48.65
14,1973,1027468,273.99
15,245,63952,17.05
16,582,266934,71.18
17,2615,1378744,367.67
18,134,5620,1.50
19,173,7254,1.93
