NodeId,RxPackets,RxBytes,ThroughputKbps
0,1094,579460,154.52
1,909,473668,126.31
2,1078,543316,144.88
3,115,47810,12.75
4,727,342760,91.40
5,1126,583950,155.72
6,1831,953408,254.24
7,932,484110,129.10
8,1486,780322,208.09
9,1804,918698,244.99
10,1815,937650,250.04
11,866,458276,122.21
12,1094,581916,155.18
13,1255,617570,164.69
14,1003,486700,129.79
15,19,1400,0.37
16,355,175450,46.79
17,12,2054,0.55
18,830,406526,108.41
19,103,48266,12.87
